slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
arizipa01,Paul Arizin,SMALL FORWARD,27,,72,2724,21.3,0.526,0.0,0.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,2.0,12.2,0.214,0.0,0.0,0.0,0.0,False
arnelje01,Jesse Arnelle,POWER FORWARD,22,,31,409,12.6,0.378,0.0,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.6,0.0,-0.001,0.0,0.0,0.0,0.0,False
athadi01,Dick Atha,SHOOTING GUARD,24,NEW YORK KNICKS,25,288,11.4,0.466,0.0,0.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.076,0.0,0.0,0.0,0.0,False
baechji01,Jim Baechtold,SMALL FORWARD,28,NEW YORK KNICKS,70,1738,14.2,0.467,0.0,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.8,3.2,0.088,0.0,0.0,0.0,0.0,False
barreer01,Ernie Barrett,SHOOTING GUARD,26,BOSTON CELTICS,72,1451,11.2,0.433,0.0,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.051,0.0,0.0,0.0,0.0,False
becker01,Ernie Beck,SHOOTING GUARD,24,,67,1007,11.7,0.438,0.0,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.1,0.053,0.0,0.0,0.0,0.0,False
bielkdo01,Don Bielke,CENTER,23,,7,38,12.2,0.579,0.0,0.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.198,0.0,0.0,0.0,0.0,False
braunca01,Carl Braun,SHOOTING GUARD,28,NEW YORK KNICKS,72,2316,15.2,0.451,0.0,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,3.6,0.075,0.0,0.0,0.0,0.0,False
brianfr01,Frankie Brian,POINT GUARD,32,,37,680,9.4,0.378,0.0,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.6,-0.2,-0.016,0.0,0.0,0.0,0.0,False
cliftna01,Nat Clifton,POWER FORWARD,33,NEW YORK KNICKS,64,1537,13.9,0.449,0.0,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,2.1,0.067,0.0,0.0,0.0,0.0,False
colemja01,Jack Coleman,POWER FORWARD,31,,34,1369,15.2,0.454,0.0,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.3,3.4,0.119,0.0,0.0,0.0,0.0,False
colemja01,Jack Coleman,POWER FORWARD,31,,41,1369,15.1,0.453,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.9,3.0,0.105,0.0,0.0,0.0,0.0,False
conlied01,Ed Conlin,SMALL FORWARD,22,,66,1423,13.8,0.416,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,2.2,2.0,0.068,0.0,0.0,0.0,0.0,False
coopech01,Chuck Cooper,FORWARD,29,,35,574,12.3,0.426,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.9,0.074,0.0,0.0,0.0,0.0,False
coopech01,Chuck Cooper,SMALL FORWARD,29,,32,570,6.4,0.394,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.5,0.2,0.016,0.0,0.0,0.0,0.0,False
cousybo01,Bob Cousy,POINT GUARD,27,BOSTON CELTICS,72,2767,20.2,0.461,0.0,0.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.6,6.8,0.119,0.0,0.0,0.0,0.0,False
davisre01,Red Davis,CENTER,23,,3,16,-3.3,0.145,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,-0.1,-0.288,0.0,0.0,0.0,0.0,False
daviswa01,Walt Davis,POWER FORWARD,25,,70,1097,7.7,0.422,0.0,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,0.036,0.0,0.0,0.0,0.0,False
dempsge01,George Dempsey,POINT GUARD,26,,72,1444,12.8,0.521,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.2,3.5,0.117,0.0,0.0,0.0,0.0,False
devlico01,Corky Devlin,SHOOTING GUARD,24,,69,1535,11.3,0.436,0.0,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,1.8,0.057,0.0,0.0,0.0,0.0,False
dukeswa01,Walter Dukes,CENTER,25,NEW YORK KNICKS,60,1290,13.8,0.491,0.0,0.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.9,2.8,0.104,0.0,0.0,0.0,0.0,False
farledi01,Dick Farley,SHOOTING GUARD,23,,72,1429,10.8,0.442,0.0,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.7,2.5,0.083,0.0,0.0,0.0,0.0,False
feierro01,Ron Feiereisel,GUARD,24,,10,59,12.2,0.428,0.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,False
felixra01,Ray Felix,CENTER,25,NEW YORK KNICKS,72,1702,18.6,0.506,0.0,0.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.2,5.5,0.155,0.0,0.0,0.0,0.0,False
ferraal01,Al Ferrari,SMALL FORWARD,22,,68,1611,9.9,0.428,0.0,0.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.6,1.9,0.057,0.0,0.0,0.0,0.0,False
flemied01,Ed Fleming,SHOOTING GUARD,22,,71,2028,16.4,0.45,0.0,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.2,5.0,0.118,0.0,0.0,0.0,0.0,False
foustla01,Larry Foust,CENTER,27,,72,2024,23.8,0.547,0.0,0.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,2.6,11.1,0.264,0.0,0.0,0.0,0.0,False
gallaha01,Harry Gallatin,SMALL FORWARD,28,NEW YORK KNICKS,72,2378,17.5,0.484,0.0,0.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.7,5.6,0.114,0.0,0.0,0.0,0.0,False
