slug,name,season
antetgi01,Giannis Antetokounmpo,2020
antetgi01,Giannis Antetokounmpo,2019
hardeja01,James Harden,2018
westbru01,Russell Westbrook,2017
curryst01,Stephen Curry,2016
curryst01,Stephen Curry,2015
duranke01,Kevin Durant,2014
jamesle01,LeBron James,2013
jamesle01,LeBron James,2012
rosede01,Derrick Rose,2011
jamesle01,LeBron James,2010
jamesle01,LeBron James,2009
bryanko01,Kobe Bryant,2008
nowitdi01,Dirk Nowitzki,2007
nashst01,Steve Nash,2006
nashst01,Steve Nash,2005
garneke01,Kevin Garnett,2004
duncati01,Tim Duncan,2003
duncati01,Tim Duncan,2002
iversal01,Allen Iverson,2001
onealsh01,Shaquille O'Neal,1900
malonka01,Karl Malone,1999
jordami01,Michael Jordan,1998
malonka01,Karl Malone,1997
jordami01,Michael Jordan,1996
robinda01,David Robinson,1995
olajuha01,Hakeem Olajuwon,1994
barklch01,Charles Barkley,1993
jordami01,Michael Jordan,1992
jordami01,Michael Jordan,1991
johnsma02,Magic Johnson,1990
johnsma02,Magic Johnson,1989
jordami01,Michael Jordan,1988
johnsma02,Magic Johnson,1987
birdla01,Larry Bird,1986
birdla01,Larry Bird,1985
birdla01,Larry Bird,1984
malonmo01,Moses Malone,1983
malonmo01,Moses Malone,1982
ervinju01,Julius Erving,1981
abdulka01,Kareem Abdul-Jabbar,1980
malonmo01,Moses Malone,1979
waltobi01,Bill Walton,1978
abdulka01,Kareem Abdul-Jabbar,1977
abdulka01,Kareem Abdul-Jabbar,1976
mcadobo01,Bob McAdoo,1975
abdulka01,Kareem Abdul-Jabbar,1974
cowenda01,Dave Cowens,1973
abdulka01,Kareem Abdul-Jabbar,1972
abdulka01,Kareem Abdul-Jabbar,1971
reedwi01,Willis Reed,1970
unselwe01,Wes Unseld,1969
chambwi01,Wilt Chamberlain,1968
chambwi01,Wilt Chamberlain,1967
chambwi01,Wilt Chamberlain,1966
russebi01,Bill Russell,1965
roberos01,Oscar Robertson,1964
russebi01,Bill Russell,1963
russebi01,Bill Russell,1962
russebi01,Bill Russell,1961
chambwi01,Wilt Chamberlain,1960
pettibo01,Bob Pettit,1959
russebi01,Bill Russell,1958
cousybo01,Bob Cousy,1957
pettibo01,Bob Pettit,1956
